2021-06-24 20:06:585 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (cb226158f233f49e46a594f8756043dd)] -> xpath: //input[@placeholder='First Name']]
2021-06-24 20:06:862 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (cb226158f233f49e46a594f8756043dd)] -> xpath: //input[@placeholder='Last Name']]
2021-06-24 20:06:139 INFO  AddCustomerPage :39 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (cb226158f233f49e46a594f8756043dd)] -> xpath: //input[@placeholder='Post Code']]
2021-06-24 20:06:950 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 20:06:519 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (c89ea00f159626a378ffa00c45208b82)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 20:06:961 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (c89ea00f159626a378ffa00c45208b82)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 20:06:889 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (c89ea00f159626a378ffa00c45208b82)] -> xpath: //input[@placeholder='First Name']]
2021-06-24 20:06:83 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (c89ea00f159626a378ffa00c45208b82)] -> xpath: //input[@placeholder='Last Name']]
2021-06-24 20:06:277 INFO  AddCustomerPage :39 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (c89ea00f159626a378ffa00c45208b82)] -> xpath: //input[@placeholder='Post Code']]
2021-06-24 20:06:21 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 20:06:651 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (45b65c87518dc9993d905fd8e467a517)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 20:06:294 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (45b65c87518dc9993d905fd8e467a517)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 20:06:231 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (45b65c87518dc9993d905fd8e467a517)] -> xpath: //input[@placeholder='First Name']]
2021-06-24 20:06:577 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (45b65c87518dc9993d905fd8e467a517)] -> xpath: //input[@placeholder='Last Name']]
2021-06-24 20:06:762 INFO  AddCustomerPage :39 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (45b65c87518dc9993d905fd8e467a517)] -> xpath: //input[@placeholder='Post Code']]
2021-06-24 20:06:875 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 20:06:410 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (6cfb8b2d77da32b747e08af247aaa37c)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 20:06:24 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (6cfb8b2d77da32b747e08af247aaa37c)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 20:06:376 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (6cfb8b2d77da32b747e08af247aaa37c)] -> xpath: //input[@placeholder='First Name']]
2021-06-24 20:06:624 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (6cfb8b2d77da32b747e08af247aaa37c)] -> xpath: //input[@placeholder='Last Name']]
2021-06-24 20:06:860 INFO  AddCustomerPage :39 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (6cfb8b2d77da32b747e08af247aaa37c)] -> xpath: //input[@placeholder='Post Code']]
2021-06-24 20:06:991 INFO  BasePage :36 - Launching Chrome Browser
2021-06-24 20:06:186 INFO  HomePage :18 - Clicking on Bank Manager Button[[ChromeDriver: chrome on WINDOWS (ef80631fcb34897bfc2b1d7fcb1b4b65)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-24 20:06:542 INFO  BankManagerLoginPage :18 - Clicking On Add Customer Button [[ChromeDriver: chrome on WINDOWS (ef80631fcb34897bfc2b1d7fcb1b4b65)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-24 21:06:126 INFO  AddCustomerPage :29 - Enter first name [[ChromeDriver: chrome on WINDOWS (ef80631fcb34897bfc2b1d7fcb1b4b65)] -> xpath: //input[@placeholder='First Name']]
2021-06-24 21:06:757 INFO  AddCustomerPage :34 - Enter last name [[ChromeDriver: chrome on WINDOWS (ef80631fcb34897bfc2b1d7fcb1b4b65)] -> xpath: //input[@placeholder='Last Name']]
2021-06-24 21:06:982 INFO  AddCustomerPage :39 - Enter Post Code [[ChromeDriver: chrome on WINDOWS (ef80631fcb34897bfc2b1d7fcb1b4b65)] -> xpath: //input[@placeholder='Post Code']]
2021-06-24 21:06:129 INFO  BasePage :36 - Launching Chrome Browser
